command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 500 1,0.4859056347649999,0.0017257390023709392,0.46073158999999997,0.030261959999999997,0.483502461065,0.489459711065
java -jar desafioMatrizNoPrint.jar 500 2,0.35846253606500006,0.003640743206584887,0.51801689,0.030979459999999997,0.354463819065,0.367706282065
java -jar desafioMatrizNoPrint.jar 500 3,0.365039216265,0.003998355556480323,0.6978626899999999,0.03119906,0.359106470065,0.374558392065
java -jar desafioMatrizNoPrint.jar 500 4,0.3682771457649999,0.004507170847138275,0.89193009,0.03163265999999999,0.360638684065,0.373639982065
java -jar desafioMatrizNoPrint.jar 500 5,0.377483660465,0.008524907932145302,0.90220549,0.03220456,0.36740993706499997,0.396153726065
java -jar desafioMatrizNoPrint.jar 500 6,0.37421060266499995,0.00911964455638957,0.88829359,0.03195916,0.365377964065,0.392134143065
java -jar desafioMatrizNoPrint.jar 500 7,0.382776197765,0.01925320112548682,0.9122069899999999,0.03306316,0.365891875065,0.427538987065
java -jar desafioMatrizNoPrint.jar 500 8,0.379526865265,0.015118260540096,0.90525819,0.03299516,0.361448713065,0.407876332065
java -jar desafioMatrizNoPrint.jar 500 9,0.387802816265,0.010531888967009285,0.93860859,0.032756560000000004,0.374572274065,0.40752780506499997
java -jar desafioMatrizNoPrint.jar 500 10,0.376361339265,0.007391407747526186,0.9112771899999998,0.03335886,0.366739135065,0.389305309065
