command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 50 1,0.19225913600000005,0.006479327788446105,0.120977855,0.0307662,0.18391899160000003,0.20167436160000002
java -jar desafioMatrizNoPrint.jar 50 2,0.19025527130000003,0.01476436912992559,0.12731975499999998,0.033027299999999996,0.17089112360000003,0.22687262860000001
java -jar desafioMatrizNoPrint.jar 50 3,0.16642467810000003,0.0069849136368916,0.11756605499999999,0.029516499999999994,0.15921182960000002,0.18119710460000002
java -jar desafioMatrizNoPrint.jar 50 4,0.16621578340000004,0.005442013704581988,0.120037255,0.029057,0.16129106360000003,0.17757048560000002
java -jar desafioMatrizNoPrint.jar 50 5,0.16177650570000005,0.0010106185803844718,0.11592805499999999,0.028174399999999995,0.15975628860000002,0.16324030860000002
java -jar desafioMatrizNoPrint.jar 50 6,0.16163777530000004,0.002017821151571283,0.11496065500000001,0.028526799999999998,0.1600605636,0.16677301460000002
java -jar desafioMatrizNoPrint.jar 50 7,0.16280974630000003,0.0031869602413332194,0.11660675499999999,0.028785199999999993,0.16072317560000002,0.17133917560000003
java -jar desafioMatrizNoPrint.jar 50 8,0.16086839820000004,0.0012978124561855984,0.116864355,0.0284878,0.15939955060000002,0.16366340460000003
java -jar desafioMatrizNoPrint.jar 50 9,0.16856534950000002,0.00859523652874189,0.120138755,0.030323899999999997,0.16096217260000004,0.18804165660000002
java -jar desafioMatrizNoPrint.jar 50 10,0.16203250470000002,0.0019221907950392628,0.116612355,0.028792599999999995,0.16019712960000002,0.16584945260000003
