command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 1000 1,3.36309566212,0.05945002881662676,3.3284190049999998,0.039642884999999996,3.32299371932,3.5096988923200003
java -jar desafioMatrizNoPrint.jar 1000 2,1.9143710423199998,0.01056049251626003,3.588181805,0.039088885000000004,1.89702616332,1.93394674532
java -jar desafioMatrizNoPrint.jar 1000 3,1.9502234445200002,0.013402100621377802,5.284117605,0.042273285,1.9271606603200002,1.9661568473200002
java -jar desafioMatrizNoPrint.jar 1000 4,2.06743213782,0.01886156116420436,7.417625504999999,0.04578398499999999,2.0421471863200003,2.10780675532
java -jar desafioMatrizNoPrint.jar 1000 5,2.0392683965200002,0.011684281997628053,7.342836504999999,0.047939885,2.02176115732,2.05886589532
java -jar desafioMatrizNoPrint.jar 1000 6,2.04636207282,0.014764120812386162,7.365719205,0.048639585,2.01358622332,2.0706587823200002
java -jar desafioMatrizNoPrint.jar 1000 7,2.0934299423200002,0.0665527742540227,7.398474105,0.051919784999999996,2.04903462732,2.26281675632
java -jar desafioMatrizNoPrint.jar 1000 8,2.05233972262,0.04345170916085802,7.379447904999999,0.049529585,2.00471437232,2.16318404632
java -jar desafioMatrizNoPrint.jar 1000 9,2.0479083537200005,0.03556887055108999,7.373293504999998,0.049412085,2.01342906232,2.13497117232
java -jar desafioMatrizNoPrint.jar 1000 10,2.0440122488199997,0.02951792558409855,7.3642205050000005,0.049401085,2.00571880832,2.09329115132
