command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 100 1,0.16890898662,0.0009963167746162534,0.12098104000000001,0.028413894999999995,0.16722825182,0.17036993382
java -jar desafioMatrizNoPrint.jar 100 2,0.17312637672000003,0.0012001043037722931,0.13986204,0.028801194999999995,0.17096740282,0.17459256582000002
java -jar desafioMatrizNoPrint.jar 100 3,0.17393271882,0.0010383168426297792,0.15489013999999998,0.028942094999999994,0.17246942782,0.17601982682
java -jar desafioMatrizNoPrint.jar 100 4,0.19074026482,0.008028192951097716,0.19470764,0.030828495000000004,0.18125430582000002,0.20363940882
java -jar desafioMatrizNoPrint.jar 100 5,0.19965375412000003,0.006954696534123751,0.19909253999999996,0.032280895,0.18724170982000002,0.20848056482000002
java -jar desafioMatrizNoPrint.jar 100 6,0.19154877822,0.008209526887753971,0.19386743999999997,0.031379895,0.18204197782,0.20376852982000002
java -jar desafioMatrizNoPrint.jar 100 7,0.19682761642000005,0.007793418840301379,0.19602223999999996,0.031736995,0.18329829682,0.20721661782
java -jar desafioMatrizNoPrint.jar 100 8,0.19523113632,0.006503526144236375,0.18892744,0.032246994999999994,0.18110049582,0.20320347882
java -jar desafioMatrizNoPrint.jar 100 9,0.19641382752,0.007799185095016589,0.18652583999999997,0.032873595,0.17941415882,0.20499863182
java -jar desafioMatrizNoPrint.jar 100 10,0.19115312371999998,0.0065076486741465584,0.18590064,0.031879695,0.18077279782,0.19950997182
