command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 750 1,1.3541597950150002,0.04459726624704776,1.3287948149999997,0.033262845,1.3048926332150002,1.4258248042150001
java -jar desafioMatrizNoPrint.jar 750 2,0.829055932215,0.011914357820450213,1.447659415,0.033034245,0.8175127052150001,0.851884367215
java -jar desafioMatrizNoPrint.jar 750 3,0.822771641215,0.005155229747066975,2.029475115,0.034294945,0.815372128215,0.830791445215
java -jar desafioMatrizNoPrint.jar 750 4,0.816064145515,0.007088414732932244,2.6080371150000006,0.034630545,0.8085194802150001,0.831141102215
java -jar desafioMatrizNoPrint.jar 750 5,0.848721064215,0.021784795513637344,2.718481215,0.035770844999999996,0.809045111215,0.880701547215
java -jar desafioMatrizNoPrint.jar 750 6,0.8454641779150002,0.012398891893570846,2.720318915,0.035962545,0.827880124215,0.859694422215
java -jar desafioMatrizNoPrint.jar 750 7,0.8632451432149999,0.04608554999436133,2.740811815,0.03867064499999999,0.821405163215,0.975150933215
java -jar desafioMatrizNoPrint.jar 750 8,0.867774866915,0.02530383413621431,2.788180815,0.037322545,0.831031398215,0.917396250215
java -jar desafioMatrizNoPrint.jar 750 9,0.8585807234150001,0.025880028827848567,2.7741192150000002,0.03636124499999999,0.8251468862150001,0.905217501215
java -jar desafioMatrizNoPrint.jar 750 10,0.8661902502150001,0.04198359942123321,2.800192215,0.037330345,0.829943026215,0.9582997122150001
