command,mean,stddev,user,system,min,max
java -jar desafioMatrizNoPrint.jar 100 1,0.17408715619999998,0.0028549410178978405,0.123114525,0.030998215000000003,0.17158480550000002,0.1817572255
java -jar desafioMatrizNoPrint.jar 100 2,0.1807472139,0.008568803102803073,0.14557892499999997,0.031798614999999995,0.1751480735,0.2046037205
java -jar desafioMatrizNoPrint.jar 100 3,0.18069889650000004,0.008129429498056439,0.161109725,0.030986115,0.17644412950000002,0.2036917815
java -jar desafioMatrizNoPrint.jar 100 4,0.19083704390000003,0.008427407702930581,0.19096342499999996,0.032334014999999994,0.1787271325,0.2019926135
java -jar desafioMatrizNoPrint.jar 100 5,0.200285643,0.0070875484894929374,0.19883162499999998,0.033164315,0.19025659150000002,0.20820388250000002
java -jar desafioMatrizNoPrint.jar 100 6,0.19728653320000003,0.004656309258099312,0.19344612499999997,0.033908015,0.1903934915,0.20280458250000002
java -jar desafioMatrizNoPrint.jar 100 7,0.20456230250000002,0.006337316997346501,0.19726922499999996,0.034660414999999986,0.19009400850000002,0.21532687450000002
java -jar desafioMatrizNoPrint.jar 100 8,0.2080804456,0.006772889416865388,0.19654672499999998,0.035709914999999995,0.2006531545,0.2190568505
java -jar desafioMatrizNoPrint.jar 100 9,0.20684496370000005,0.00870078821595691,0.19181912499999998,0.036078815,0.18890359650000002,0.21776612050000002
java -jar desafioMatrizNoPrint.jar 100 10,0.2031367553,0.012100459117722517,0.19246262499999994,0.03586711499999999,0.1878466325,0.2257191265
